row_id,surface_contract,required_behavior,physical_lanes,nature,partition_kind,owner_track,live_operational_owner_task,dependency_gates,day_release_window_binding,route_binding,missing_artifacts,next_action,state,verdict
PGQA-L11,"`soil-moisture` → `soil-field-moisture`; daily, three-depth intersection",Correct moisture depth/support/unit and common readable days; no missing-depth substitution.,soil-field-moisture-0-7cm;soil-field-moisture-7-28cm;soil-field-moisture-28-100cm,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind three depths independently and common readable history; supply fixed support and full required horizon outside bounded polling; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L12,"`soil-temperature` → `soil-field-temperature`; daily, four-depth intersection",Correct temperature depth including 100–255 cm and common readable days; independent of moisture selection.,soil-temperature-0-to-7cm;soil-temperature-7-to-28cm;soil-temperature-28-to-100cm;soil-temperature-100-to-255cm,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,"Bind four depths independently and common readable history, full horizon and fixed support; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence",blocked,RED
PGQA-L13,`soil-vpd` → `soil-field-vpd`; daily,"Atmospheric dryness in kPa, correct pseudo-depth and no claim of soil moisture measurement.",soil-field-vpd,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,"Bind atmospheric VPD kPa support/pseudo-depth, current source receipts and full required horizon; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence",blocked,RED
PGQA-L14,"`climate-air-temperature` → `climate-field-air-temperature`; daily, mean/max/min intersection","Separate statistic choice with correct units, fill/allowed contours and per-signal date.",climate-field-air-temperature-mean;climate-field-air-temperature-max;climate-field-air-temperature-min,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,"Retain 2022-04-30 to 2026-08-06 histories only; supply current three-statistic intersection, forward health and scheduled evidence; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence",blocked,RED
PGQA-L15,`climate-dew-point` → `climate-field-dew-point`; daily,"Dew-point value, unit, supported form and independent availability match selected cells.",climate-field-dew-point,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Assign owner to required older dew-point intervals outside 400-day scheduled scope; source-backed absence and all-rung reconciliation; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L16,`climate-precipitation` → `climate-field-precipitation`; daily,Daily amount/interval and observed zero distinct from missing; no unsupported contours.,climate-field-precipitation,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Resolve required older precipitation intervals; prove zero versus missing and daily amount/interval; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L17,`climate-relative-humidity` → `climate-field-relative-humidity`; daily,"Percent range, unit and availability agree in map, detail and answer.",climate-field-relative-humidity,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement + offline export,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind source units and history; reconcile separately deferred 1981-2017 availability-index work before graduation; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L18,`climate-shortwave-radiation` → `climate-field-shortwave-radiation`; daily,Correct source unit/quantity and daily support; no sunlight-hours substitution.,climate-field-shortwave-radiation,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,"Supply receipt-measured provider ceiling/lag and history, quantity and units; historical declared lag is not a current measurement; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence",blocked,RED
PGQA-L19,`climate-wind-speed` → `climate-field-wind-speed`; daily,Scalar wind-speed meaning and unit maintained; no invented direction or forecast.,climate-field-wind-speed,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind scalar wind speed and source history without inventing direction or forecast; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L20,`climate-soil-wetness-surface` → `climate-field-soil-wetness-surface`; daily pilot,"Surface wetness pilot coverage explicit; blank ground not dry ground, no unsupported contours.",soil-wetness-surface,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Resolve older surface wetness horizon/absence ownership and explicit pilot footprint; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L21,`climate-soil-wetness-root-zone` → `climate-field-soil-wetness-root-zone`; daily pilot,"Root-zone meaning, source footprint and independent availability preserved.",soil-wetness-root-zone,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Resolve older root-zone wetness horizon/absence ownership and independent coverage; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L22,`climate-soil-wetness-profile` → `climate-field-soil-wetness-profile`; daily pilot,Profile meaning distinct from surface/root zone and unsupported cells remain explicit.,soil-wetness-profile,daily_series,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Resolve older profile wetness horizon/absence ownership without substituting other depths; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L23,`demand-heatmap` → null; current aggregate,"K-anonymity-floored activity grid, no single private request location and no fabricated observation slider.",,community aggregate; not registered,observed or explicit non-Parquet/refusal scope,Community + QA,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Prove k-anonymity and privacy/role boundaries; no fabricated Parquet observation axis; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L24,`interventions` → same; community publication/date contract,Only authorized published interventions visible with correct geometry/state; pending/rejected remain private.,,protected community publication; not registered,observed or explicit non-Parquet/refusal scope,Community + QA,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Prove authorized published geometry and private pending/rejected state; synthetic mechanics cannot close human contributor gate; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L25,`strategy-recommendations` → snapshot surface,Fixed recommendation reference/support and evidentiary limits; absent model output is not generated advice.,,reference/withheld; not registered,observed or explicit non-Parquet/refusal scope,Strategy validation + release governance + QA,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind source/model/effect evidence or explicit refusal; do not invent a registered Parquet lane or certify efficacy; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L26,`evacuation-zones` → same; snapshot/static lookup,Source-backed reference boundary and status/date meaning; no implied current evacuation instruction from stale reference.,evacuation-zones,static_lookup,observed or explicit non-Parquet/refusal scope,Gapless + retirement,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Bind captured source/version/status age and null daily axis; stale reference is not current evacuation advice; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PGQA-L27,`burn-severity` → same; event/release series,"Cumulative history at/before selected day, correct severity boundaries and publication date distinct from ignition.",burn-severity,release_series; cumulative event,observed or explicit non-Parquet/refusal scope,Retirement + gapless,UNBOUND,G0;G1;G2 where activated;G3;G4;G5;G6;G7,UNBOUND; use acceptance-matrix axes and honest static/null semantics,UNBOUND; owner must bind applicable coverage/day/window/release/refusal and public reader,candidate/products.json; publication/<lane> receipts/support; routes/<case-id>; spatial/<case-id>; operations/<lane> where activated; independent reviews,Retain 2018-2026 747-fire subset/partial seasons; resolve separate older 3077-fire scope and current scheduled publication/recovery; bind exact owner/candidate/data and supply matching reader/renderer/QA evidence,blocked,RED
PA-B01,backend-only signal,Explicit private product intake; no inferred public slider capability,signal,daily_series,observed,Retirement + gapless + reader,UNBOUND,G0;G1;G2 where activated;G3;G5;G6;G7,UNBOUND; declared product semantics required,UNBOUND; current public coverage census deliberately excludes this key,candidate/products.json; publication/<lane>; private route/refusal receipts; operations/<lane> where activated; reviews,"Retirement must supply content-addressed archive, transfer/schema/day/rung receipts and original coordinate-witness lineage; reader must bind private day/window/refusal and intentional public census exclusion",blocked,RED
PA-B02,backend-only calendar,Explicit private product intake; no inferred public slider capability,calendar,static_lookup,observed,Retirement + gapless + reader,UNBOUND,G0;G1;G2 where activated;G3;G5;G6;G7,UNBOUND; declared product semantics required,UNBOUND; current public coverage census deliberately excludes this key,candidate/products.json; publication/<lane>; private route/refusal receipts; operations/<lane> where activated; reviews,"Gapless must supply immutable dimension version and supported horizon/manifest/owner; reader must bind private release/refusal scope and intentional public census exclusion, not fabricate daily observations",blocked,RED
